Month,conversions,sessions,conversion_rate,ci_lower,ci_upper,conversion_pct,ci_lower_pct,ci_upper_pct
Feb,3,184,0.016304347826086956,0.005560179056259568,0.04683218886124253,1.6304347826086956,0.5560179056259569,4.683218886124253
Mar,192,1907,0.10068169900367069,0.08796887338619118,0.11500006316810389,10.068169900367069,8.796887338619118,11.500006316810389
May,365,3364,0.10850178359096314,0.09843494104020942,0.11946173485547273,10.850178359096315,9.843494104020941,11.946173485547273
June,29,288,0.10069444444444445,0.0710278595018295,0.14087300979408912,10.069444444444445,7.102785950182949,14.087300979408912
Jul,66,432,0.1527777777777778,0.12192345385689551,0.18975285887447207,15.277777777777779,12.192345385689551,18.975285887447207
Aug,76,433,0.17551963048498845,0.14258612018198466,0.2141599158774288,17.551963048498845,14.258612018198466,21.41599158774288
Sep,86,448,0.19196428571428573,0.1581742909426092,0.23099198715776742,19.196428571428573,15.817429094260921,23.09919871577674
Oct,115,549,0.20947176684881602,0.17750945935206253,0.24547158718434986,20.9471766848816,17.750945935206254,24.547158718434986
Nov,760,2998,0.25350233488992663,0.23825279592035084,0.2693827603622756,25.350233488992664,23.825279592035084,26.93827603622756
Dec,216,1727,0.1250723798494499,0.11029803972057867,0.14151096138669433,12.507237984944991,11.029803972057866,14.151096138669434
